meter id,ResStock_ids,cvrmses,cvrmses_month,percent_errs_cooling,percent_errs_heating,peak_htg_hr_diffs,peak_clg_hr_diffs,costs
6000989540,[263933],[0.8624193858000949],[0.08782048431439324],[0.02357135139564579],[0.023697172192909854],[1.0],[3.0],[0.0044667000719205655]
6000989558,[408994],[0.8769403703478925],[0.2949182649384017],[0.028049179585716524],[0.14536179775405308],[5.0],[6.0],[0.013760641620747997]
6000989587,[515178],[0.844158349635048],[0.16071914144903818],[0.25606447963876366],[0.24278224024706366],[9.0],[3.0],[0.014821062690109842]
6000989600,[15812],[0.7262559469983308],[0.2226687011602563],[0.04525308505666309],[0.030733719390687756],[3.0],[2.0],[0.0011945495229156973]
6000989625,[381285],[0.6762060970447711],[0.26207663773403994],[0.12098260634032003],[0.06379114145279798],[1.0],[1.0],[0.009835282173567758]
6000989662,[],[],[],[],[],[],[],[]
6000989684,[324321],[0.6633527187497992],[0.4038076226627972],[0.08226566703942975],[0.2845179075586823],[1.0],[0.0],[0.01634852317453891]
6000989706,[233329],[1.1275305720927298],[0.1950953175429216],[0.04178373650190976],[0.07372213276697132],[1.0],[2.0],[0.01263681805657959]
6000989711,[228135],[0.8622941655944807],[0.20139866906045698],[0.15190835245770873],[0.16901984814222407],[1.0],[10.0],[0.019281393039369363]
6000989716,[475067],[0.8031039794824303],[0.36620896258285396],[0.003603121520546997],[0.09680488150459443],[1.0],[1.0],[0.011086582322260678]
6000989731,[212174],[1.075627279264066],[0.3919874605724955],[0.021081670286472246],[0.0625669614863022],[1.0],[4.0],[0.0023734258926733877]
6000989910,[],[],[],[],[],[],[],[]
6000990084,[435233],[1.188499485628837],[0.14848779988076113],[0.061146050702431565],[0.025039329725336488],[2.0],[1.0],[0.0011936993236597185]
6000990138,[],[],[],[],[],[],[],[]
6000990146,[155005],[0.7086339721872761],[0.34786062902065257],[0.31941554072360495],[0.143476423290541],[3.0],[5.0],[0.0007321215083868764]
6000990155,[431482],[1.0826642999730896],[0.2615863695202355],[0.4754093495943715],[0.18432674290979972],[9.0],[2.0],[0.003702513939445369]
6000990162,[],[],[],[],[],[],[],[]
6000990168,[253262],[1.1811562156550013],[0.2730939628452917],[0.16496106239053374],[0.03110231841491236],[1.0],[1.0],[0.0036468168415050963]
6000990185,[155005],[0.7194126195261178],[0.1929073920612638],[0.6290419008304533],[0.6859476012765142],[11.0],[3.0],[0.001786368807238133]
6000990191,[],[],[],[],[],[],[],[]
6000990209,[437744],[0.8723244989726818],[0.25122564926334656],[0.020604139691458433],[0.1434503198730548],[2.0],[3.0],[0.003574497228609601]
6000990224,[],[],[],[],[],[],[],[]
6000990236,[361850],[1.0152652916727973],[0.3150193724432895],[0.324166250152745],[0.2881837098949881],[0.0],[2.0],[0.002376438928085505]
6000990256,[],[],[],[],[],[],[],[]
6000990262,[542545],[0.7010059400742701],[0.2767141726423723],[0.13147675195853212],[0.1487207841964986],[3.0],[1.0],[0.0030387885712842002]
6000990294,[],[],[],[],[],[],[],[]
6000990345,[356107],[1.0416373585367957],[0.3196362804286374],[0.06690557582663341],[0.09703223802194313],[1.0],[0.0],[0.005595442409521974]
6000990354,[324321],[0.6349243459109399],[0.23407199868224096],[0.14805189746809502],[0.2488312653524363],[4.0],[3.0],[0.009175705298438187]
6000990369,[484254],[0.8686348193582746],[0.1561814650408677],[0.04145788017867483],[0.08722288931455079],[1.0],[0.0],[0.004860963301653529]
6000990376,[443788],[1.125470405585845],[0.3347628837449758],[0.11922887189089351],[0.07126406076555485],[7.0],[7.0],[0.024352719553156897]
6000990384,[88300],[0.7124539913820895],[0.18989119809426086],[0.12210514861175958],[0.024916463206429314],[9.0],[7.0],[0.006416526839331192]
6000990391,[233329],[0.9064976690341594],[0.1636051720049065],[0.010718301673611475],[0.09131533504838289],[11.0],[0.0],[0.0023048442718939703]
6000990399,[151659],[1.1158804068183887],[0.16480017919321738],[0.0015661425931769283],[0.07323315440867527],[11.0],[12.0],[0.00405822152336358]
6000990407,[218143],[0.9790708016586501],[0.2200873333395026],[0.04343347275099145],[0.033693811913824596],[2.0],[2.0],[0.006269667337234653]
6000990434,[327733],[0.9433259699498929],[0.25384608396098923],[0.12357311579879979],[0.299127282938874],[2.0],[2.0],[0.021203251867822542]
6000990441,[300837],[0.6427661058219599],[0.12462203698672988],[0.0063212122049605786],[0.13746652915774746],[11.0],[2.0],[0.0014413168237074239]
6000990452,[381285],[1.0318083267454177],[0.27291475490931316],[0.12691128087578923],[0.07878635766418632],[11.0],[3.0],[0.015039314128073872]
6000990458,[],[],[],[],[],[],[],[]
6000990464,[218118],[0.8923755200198172],[0.28398364097939005],[0.013910126525109886],[0.0026523564460186186],[2.0],[1.0],[0.0035259334246348067]
6000990470,[420674],[1.080982863537307],[0.22218762909396803],[0.05325364079172602],[0.05211640927079952],[8.0],[7.0],[0.0020305036511564477]
6000990477,[240439],[0.9364472556289538],[0.24902971524480078],[0.039373336710114636],[0.0669123868113606],[10.0],[11.0],[0.003199568893917206]
6000990498,[468050],[0.9762507754926698],[0.2822626692163281],[0.14293276554303422],[0.8367028698307554],[1.0],[5.0],[0.019831522172665327]
6000990643,[431482],[1.1872583331567683],[0.2540606810275569],[0.5998314910367321],[0.45436498826397365],[0.0],[11.0],[0.006281877679716674]
6000990671,[515178],[0.8391032544962187],[0.17240983999715193],[0.07805547678763297],[0.006316414449633396],[12.0],[9.0],[0.003951554237939253]
6000990679,[437117],[0.6764556927304213],[0.1359809315957216],[0.25865273123389876],[0.06522945181250157],[11.0],[1.0],[0.006164265074840831]
